1,4522,2353,3928,1847,6843,4499
2,1108,1775,1986,6420,1994,1939
3,7064,1810,1710,5119,3284,1769
4,5801,4959,525,1764,1982,2001
5,2457,6805,1785,2723,5141,5918
6,1777,6886,1987,2357,1806,5268
7,1710,5801,6420,1775,2001,525
8,1810,3928,1986,1769,1785,1764
9,5268,6805,1777,4499,1982,2353
10,1847,4522,2357,1939,7064,1806
11,4959,5141,6843,3284,1987,2457
12,6886,5918,1994,5119,1108,2723
13,1710,2353,1986,1810,1785,2357
14,5141,1806,3284,1777,525,1764
15,5918,1769,6843,2723,6420,1847
16,7064,1982,5119,4499,4959,1939
17,4522,1108,1994,2457,5268,2001
18,1775,6886,5801,3928,1987,6805
19,525,1939,1785,1710,1764,5918
20,1994,2001,5119,2457,5141,2357
21,1777,1108,4499,2353,5801,1810
22,6886,5268,1982,7064,1769,3928
23,6843,2723,4522,6420,1986,3284
24,1987,1847,1806,1775,6805,4959
25,1764,3928,5141,5918,2353,1108
26,1939,5801,5268,2001,6843,7064
27,1810,1769,1847,525,1806,1994
28,1986,2457,4522,6886,1710,6805
29,2723,1982,3284,5119,1777,1775
30,1987,4499,2357,1785,4959,6420
31,1986,6805,1994,3928,5268,525
32,2001,1810,2723,1982,4522,1806
33,2353,3284,6886,1108,2357,5801
34,4959,2457,1769,5918,1939,5119
35,1847,1775,1785,1777,6420,5141
36,4499,7064,1764,6843,1710,1987
37,1806,3928,5918,2001,1986,1939
38,1785,4522,1777,1847,5119,5801
39,1987,1764,6420,1982,1710,1994
40,2457,2723,1775,525,7064,2353
41,5141,4499,1810,4959,5268,1108
42,3284,6843,6805,2357,1769,6886
43,1982,5918,6420,5801,1785,1986
44,5268,7064,5141,3928,2723,1710
45,525,6886,1108,2001,4959,4522
46,6805,4499,5119,3284,1994,1847
47,1939,1987,1769,2353,2457,1777
48,1764,2357,6843,1775,1806,1810
49,6420,5119,3928,5268,4522,3284
50,1987,2001,5801,1769,1710,5141
51,6886,1847,4959,2353,1764,1775
52,1982,1108,1785,1806,6843,2457
53,4499,525,2723,2357,1939,6805
54,1986,5918,7064,1994,1777,1810
55,1785,2353,2001,5268,5119,6843
56,1710,525,2457,1806,6886,4499
57,6805,6420,7064,1108,1764,1810
58,1939,5141,1847,1986,2357,1982
59,3284,5918,1777,4522,1775,1987
60,3928,1994,4959,1769,5801,2723
61,6420,2001,1806,6805,1847,2353
62,5119,1986,525,1108,1987,7064
63,4959,2357,1710,6843,1777,3928
64,1810,3284,1939,5141,1785,6886
65,1994,1775,1769,4522,4499,5918
66,1764,2723,5268,5801,2457,1982
67,6805,2001,1108,7064,1777,4959
68,6843,1939,2353,1785,1994,1987
69,2357,3284,1775,5918,1810,2457
70,1806,5119,1764,5801,3928,4499
71,5268,1847,1710,2723,1986,6886
72,5141,525,1982,1769,6420,4522
